ref_area.label,sex.label,classif1.label,classif2.label,time,obs_value
AGO,Male,OC2_ISCO08_82,,2025,6.356
AGO,Male,OC2_ISCO08_83,,2025,531.64
AGO,Male,OC2_ISCO08_91,,2025,22.106
AGO,Male,OC2_ISCO08_92,,2025,45.083
AGO,Male,OC2_ISCO08_93,,2025,37.243
AGO,Male,OC2_ISCO08_94,,2025,2.833
AGO,Male,OC2_ISCO08_95,,2025,65.814
AGO,Male,OC2_ISCO08_96,,2025,44.696
AGO,Male,OC2_ISCO08_X,,2025,92.743
AGO,Female,OC2_ISCO08_TOTAL,,2025,6910.327
AGO,Female,OC2_ISCO08_01,,2025,
AGO,Female,OC2_ISCO08_02,,2025,
AGO,Female,OC2_ISCO08_03,,2025,0.0
AGO,Female,OC2_ISCO08_11,,2025,1.117
AGO,Female,OC2_ISCO08_12,,2025,
AGO,Female,OC2_ISCO08_13,,2025,6.928
AGO,Female,OC2_ISCO08_14,,2025,11.831
AGO,Female,OC2_ISCO08_21,,2025,5.226
AGO,Female,OC2_ISCO08_22,,2025,83.828
AGO,Female,OC2_ISCO08_23,,2025,116.09
AGO,Female,OC2_ISCO08_24,,2025,17.95
AGO,Female,OC2_ISCO08_25,,2025,
AGO,Female,OC2_ISCO08_26,,2025,9.9
AGO,Female,OC2_ISCO08_31,,2025,
AGO,Female,OC2_ISCO08_32,,2025,9.62
AGO,Female,OC2_ISCO08_33,,2025,44.186
AGO,Female,OC2_ISCO08_34,,2025,14.752
AGO,Female,OC2_ISCO08_35,,2025,7.18
AGO,Female,OC2_ISCO08_41,,2025,17.162
AGO,Female,OC2_ISCO08_42,,2025,9.693
AGO,Female,OC2_ISCO08_43,,2025,
AGO,Female,OC2_ISCO08_44,,2025,2.765
AGO,Female,OC2_ISCO08_51,,2025,330.11
AGO,Female,OC2_ISCO08_52,,2025,1937.038
AGO,Female,OC2_ISCO08_53,,2025,35.332
AGO,Female,OC2_ISCO08_54,,2025,19.8
AGO,Female,OC2_ISCO08_61,,2025,472.459
AGO,Female,OC2_ISCO08_62,,2025,4.689
AGO,Female,OC2_ISCO08_63,,2025,3029.121
AGO,Female,OC2_ISCO08_71,,2025,2.966
AGO,Female,OC2_ISCO08_72,,2025,4.641
AGO,Female,OC2_ISCO08_73,,2025,2.398
AGO,Female,OC2_ISCO08_74,,2025,
AGO,Female,OC2_ISCO08_75,,2025,57.117
AGO,Female,OC2_ISCO08_81,,2025,12.448
AGO,Female,OC2_ISCO08_82,,2025,
AGO,Female,OC2_ISCO08_83,,2025,9.495
AGO,Female,OC2_ISCO08_91,,2025,310.292
AGO,Female,OC2_ISCO08_92,,2025,51.75
AGO,Female,OC2_ISCO08_93,,2025,
AGO,Female,OC2_ISCO08_94,,2025,14.349
AGO,Female,OC2_ISCO08_95,,2025,86.329
AGO,Female,OC2_ISCO08_96,,2025,32.842
AGO,Female,OC2_ISCO08_X,,2025,131.111
AGO,Total,OC2_ISCO08_TOTAL,,2024,12697.454
AGO,Total,OC2_ISCO08_01,,2024,40.702
AGO,Total,OC2_ISCO08_02,,2024,76.113
AGO,Total,OC2_ISCO08_03,,2024,20.77
AGO,Total,OC2_ISCO08_11,,2024,29.454
AGO,Total,OC2_ISCO08_12,,2024,13.764
AGO,Total,OC2_ISCO08_13,,2024,32.542
AGO,Total,OC2_ISCO08_14,,2024,65.755
AGO,Total,OC2_ISCO08_21,,2024,38.531
AGO,Total,OC2_ISCO08_22,,2024,149.107
AGO,Total,OC2_ISCO08_23,,2024,349.901
AGO,Total,OC2_ISCO08_24,,2024,42.913
AGO,Total,OC2_ISCO08_25,,2024,8.435
AGO,Total,OC2_ISCO08_26,,2024,37.208
AGO,Total,OC2_ISCO08_31,,2024,56.015
AGO,Total,OC2_ISCO08_32,,2024,19.495
AGO,Total,OC2_ISCO08_33,,2024,172.45
AGO,Total,OC2_ISCO08_34,,2024,47.83
AGO,Total,OC2_ISCO08_35,,2024,35.27
AGO,Total,OC2_ISCO08_41,,2024,17.0
AGO,Total,OC2_ISCO08_42,,2024,53.335
AGO,Total,OC2_ISCO08_43,,2024,9.275
AGO,Total,OC2_ISCO08_44,,2024,12.898
AGO,Total,OC2_ISCO08_51,,2024,424.18
